ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
CARNEIRO4_047,Manobo,8,126,agus1235,Manóbo,,,,,,,,,,Malesia
CARNEIRO4_048,Tupinambá,-22.81,-42.11,tupi1273,Tupinambá,,,,Tupinamba (SO09),SO09,,,Coordinates from glottolog tupi1273,,Brazil
CARNEIRO4_049,Siuai,-6,155,siwa1245,Siuai,,,,Siwai (ON19),ON19,,,,,Papuasia
CARNEIRO4_050,Cheyenne,39,-104,chey1247,Cheyenne,,,1830,,,,,,,Northwestern U.S.A.
CARNEIRO4_051,Bitterroot Salish,46,-113,kali1309,Flathead,,,,Southeast Salish (NR19),NR19,,,,,Northwestern U.S.A.
CARNEIRO4_052,Kiwai,-9,143,sout2949,Kiwai,,,,,,,,,,Papuasia
CARNEIRO4_053,Gururumba,-5.92,145.25,dano1240,Gururumba,,,,,,,,Coordinates from glottolog dano1240,,Papuasia
CARNEIRO4_054,Toda,12,77,toda1252,Toda,,,,Toda (AW60),AW60,,,,,Indian Subcontinent
CARNEIRO4_055,Klallam,48,-123,clal1241,Klallam,,,,,,,,,,Northwestern U.S.A.
CARNEIRO4_056,Mala,-9,161,mala1542,Mala,,,,,,,,"Probably more general than Kwaio (Ig18, xd850) but there should be overlap between them",,Papuasia
CARNEIRO4_057,Sami,68,22,nort2671,Reindeer Lapps,,,,Saami (EP04),EP04,,,,,Northern Europe
CARNEIRO4_058,Guaraní,-23.5,-56.5,tupi1282,Guaraní,,,,Guaraní (SM04),SM04,,,"Guaraní in Paraguay, but not clear wheter closer to Paraguayan Guaraní (para1311) or Mbyá Guaraní (mbya1239)",,Southern South America
CARNEIRO4_059,Yukaghir,70,145,nort2745,Yukaghir,,,,Yukaghir (RV03),RV03,,,,,Siberia
CARNEIRO4_060,Nuer,8,32,nuer1246,Nuer,,,,Nuer (FJ22),FJ22,,,,,Northeast Tropical Africa
CARNEIRO4_061,Dena'ina,62,-144,tana1289,Tanaina,,,,,,,,,,Subarctic America
CARNEIRO4_062,Ticuna,-3,-70,ticu1245,Tukuna,,,,Ticuna (SQ20),SQ20,,,,,Western South America
